# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Thu, 03 Sep 2026 04:22:07 +0000
# Count: 32536
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.214.117.218,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.214.197.163,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.214.214.114,6,HIGH,Brute-Force,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum
1.215.138.43,4,HIGH,Brute-Force,2026-09-02,2026-09-03,firehol_level2|greensnow|ipsum
1.220.233.171,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.222.42.237,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.227.228.131,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,abuseipdb|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.231.29.229,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.231.81.166,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.233.103.18,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-03,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.235.192.214,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.237.74.84,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.237.155.150,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.238.106.229,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.241.64.237,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.245.140.132,11,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-03,blocklist_de|blocklist_de_ssh|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.247.245.61,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.250.67.114,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-03,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum
