# Threatbase Threat Intelligence Feed - C2 IPs
# Last update: Sat, 05 Sep 2026 10:18:29 +0000
# Count: 7607
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
2.50.140.56,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.50.166.115,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.51.46.59,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.51.46.63,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.56.10.16,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.58.16.89,3,HIGH,C2|Malicious,2026-09-02,2026-09-05,feodo_tracker_aggressive|romainmarcoux_outgoing_aa
2.82.8.80,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.82.10.152,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.82.75.215,3,HIGH,C2|Malicious,2026-09-02,2026-09-05,feodo_tracker_aggressive|romainmarcoux_outgoing_aa
2.83.12.243,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.83.32.104,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.83.62.105,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.84.98.228,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.88.198.90,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.88.206.121,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.88.219.187,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.91.184.252,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.91.187.6,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.98.146.106,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.98.147.157,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.99.47.198,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.99.100.134,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.222.167.138,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
2.237.150.131,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
3.228.226.42,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.2.67.108,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.2.70.80,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.2.78.37,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.2.158.159,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.9.14.91,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.9.178.143,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.30.216.183,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.32.41.45,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.32.41.46,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.34.74.210,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.39.63.98,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.39.63.103,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.39.99.208,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.44.57.191,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.35.115,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.49.78,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.50.169,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.53.124,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.78.224,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.54.79.204,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.59.205.32,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.80.85.133,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.80.86.185,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.81.177.71,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.83.45.48,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.88.12.21,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.95.58.211,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.100.228.233,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.135.167.231,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.135.182.4,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.149.249.185,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.152.175.57,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.163.163.51,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.163.177.234,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.180.151.180,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.180.151.194,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.181.80.108,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.181.80.128,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.181.80.177,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.181.156.16,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.181.156.53,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.182.210.24,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.182.210.132,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.182.210.254,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.189.144.136,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.189.150.29,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.189.157.183,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.189.160.61,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.189.181.107,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.193.134.177,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.193.138.70,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.196.204.251,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.196.213.55,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.199.162.48,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.199.174.90,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.202.150.151,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.224.28.151,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.252.177.62,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.252.177.195,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.253.30.17,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
5.253.59.162,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
8.4.9.152,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
8.9.11.48,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
8.20.255.249,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
8.210.53.215,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
8.222.227.103,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.20.0.235,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.23.113.25,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.23.113.61,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.23.113.92,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.158.156.51,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.162.84.2,4,HIGH,C2|Malicious,2026-09-02,2026-09-05,feodo_tracker_aggressive|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
12.163.208.58,3,HIGH,C2|Malicious,2026-09-02,2026-09-05,feodo_tracker_aggressive|romainmarcoux_outgoing_ab
12.172.173.82,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
12.175.220.98,3,HIGH,C2|Malicious,2026-09-02,2026-09-05,feodo_tracker_aggressive|romainmarcoux_outgoing_ab
14.54.83.15,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.96.79.22,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.102.15.100,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.102.15.101,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.102.25.100,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.102.188.227,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.163.55.123,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.192.241.76,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.200.181.108,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.202.223.107,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.232.161.45,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.241.244.60,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
14.246.151.175,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.204.219.215,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.44.231,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.45.155,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.47.80,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.47.206,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.143.190,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
15.235.202.109,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
18.195.23.231,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
23.19.58.212,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
23.19.58.251,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
23.29.115.164,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
23.29.115.172,2,HIGH,C2,2026-09-02,2026-09-05,feodo_tracker_aggressive
