# Threatbase Threat Intelligence Feed - Compromised IPs
# Last update: Sat, 05 Sep 2026 10:18:29 +0000
# Count: 15548
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.24.16.181,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.182,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.183,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.24.16.189,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.24.16.193,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.28.201.36,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.32.57.245,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.34.2.110,6,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.34.143.217,4,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum
1.58.106.228,6,HIGH,Compromised|Malicious,2026-09-03,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.15,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.16,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.83.125.31,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.32,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.46,3,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_ab
1.83.125.48,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.83.125.58,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.64,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.83.125.67,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.83.125.82,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.83,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.86,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.83.125.108,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.136,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.83.125.143,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.178,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.204,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.214,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.232,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|ipsum
1.83.125.233,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.238,5,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|firehol_level3|ipsum|romainmarcoux_outgoing_ab
1.83.125.240,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.83.125.241,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.83.125.246,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.83.125.250,2,HIGH,Compromised,2026-09-02,2026-09-05,cins_army
1.119.194.253,5,HIGH,Compromised|Malicious,2026-09-03,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.177.162.2,4,HIGH,Compromised|Malicious,2026-09-02,2026-09-05,cins_army|ipsum|romainmarcoux_outgoing_ab
1.189.116.185,1,HIGH,Compromised,2026-09-05,2026-09-05,cins_army
1.192.176.104,3,HIGH,Compromised,2026-09-02,2026-09-05,cins_army|firehol_level3
1.193.37.103,2,HIGH,Compromised,2026-09-05,2026-09-05,cins_army
