# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Sat, 05 Sep 2026 06:52:29 +0000
# Count: 31352
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
1.215.138.43,3,HIGH,Brute-Force,2026-09-02,2026-09-05,greensnow|ipsum
1.220.198.126,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.220.233.171,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.222.42.237,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.227.228.131,8,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.231.29.229,11,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
1.235.192.214,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.237.74.84,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
1.238.106.229,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_ab
1.245.140.132,10,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_ab
1.245.207.104,5,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|ipsum|romainmarcoux_outgoing_ab
1.247.245.61,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.250.67.114,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_ab
1.250.67.190,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
1.255.171.167,10,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_ab
2.12.149.79,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-03,2026-09-05,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_aa
