# Threatbase Threat Intelligence Feed - Spam IPs
# Last update: Sat, 05 Sep 2026 10:18:29 +0000
# Count: 12634
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
2.192.131.40,4,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
2.192.132.212,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.249.150.53,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
3.25.92.214,3,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail
3.96.144.93,3,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail
3.112.47.207,2,MEDIUM,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail
3.130.168.2,10,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
3.141.16.10,2,MEDIUM,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail
3.249.161.77,4,HIGH,Brute-Force|Spam,2026-09-04,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
3.249.187.171,4,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
3.254.173.119,4,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
4.227.154.187,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level3|ipsum
5.11.162.163,8,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
5.32.61.6,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.32.99.14,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.32.107.6,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.37.222.214,4,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
5.48.46.95,8,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
5.152.74.2,4,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
5.164.26.191,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.167.64.0,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.1,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.2,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.3,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.4,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.5,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.6,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.7,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.8,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.9,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.10,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.11,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.12,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.13,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.14,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.15,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.16,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
